intExpID,Column,total_users,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,Seg_Dur,Codec,Width,Height,Resolutions,FPS,Play_Pos,RTT,Protocol,Clae,Duanmu,Yin,Yu,P1203,log_Clae,log_Duanmu,log_Yin,log_Yu,log_P1203,intUser,port,rtt_qos,tp_qos,p_qos
50,1,3,59,111353,1440,0,4375,7381,5314,1328639,7567,exponential,2000,h264,1920,1080,1920x1080,24,116000,10.552,HTTP/1.1,5.039,77.523,247299.958,4.314,4.867,0.7023443584,1.889430571,5.393224043,0.6348801408,0.6872613462,2,37758,9.55,948374.2875,330
50,1,3,60,112746,186,0,4375,26253,2441,610383,8175,exponential,2000,h264,1920,1080,1920x1080,24,118000,9.361,HTTP/1.1,5.046,77.53,251674.977,4.315,4.867,0.7029472462,1.889469784,5.400840038,0.6349808001,0.6872613462,2,37766,16.484,3911884.169,107
50,1,3,59,111646,1648,0,4375,6449,5314,1328639,7235,exponential,2000,h264,1920,1080,1920x1080,24,116000,26.424,HTTP/1.1,5.039,77.523,247299.958,4.314,4.867,0.7023443584,1.889430571,5.393224043,0.6348801408,0.6872613462,3,52934,9.645,829058.4693,358
50,1,3,60,113127,433,0,4375,11277,2441,610383,7754,exponential,2000,h264,1920,1080,1920x1080,24,118000,24.372,HTTP/1.1,5.046,77.53,251674.977,4.315,4.867,0.7029472462,1.889469784,5.400840038,0.6349808001,0.6872613462,3,52942,0.09,1564425.781,83
61,4,2,59,97429,764,0,4375,13912,5314,1328639,21650,average,2000,h264,1920,1080,1920x1080,24,116000,14.262,HTTP/1.1,5.039,77.523,247299.958,4.314,4.867,0.7023443584,1.889430571,5.393224043,0.6348801408,0.6872613462,2,56356,2.443,1839198.199,181
61,4,2,60,99545,371,0,4375,13161,2441,610383,21535,average,2000,h264,1920,1080,1920x1080,24,118000,20.827,HTTP/1.1,5.046,77.53,251674.977,4.315,4.867,0.7029472462,1.889469784,5.400840038,0.6349808001,0.6872613462,2,56360,0.225,1912968.016,133
66,2,2,59,90682,1175,0,4375,9046,5314,1328639,28349,exponential,2000,h264,1920,1080,1920x1080,24,116000,27.022,HTTP/1.1,5.039,77.523,247299.958,4.314,4.867,0.7023443584,1.889430571,5.393224043,0.6348801408,0.6872613462,1,49354,7.938,1177519.9,187
66,2,2,60,92246,437,0,4375,11174,2441,610383,28785,exponential,2000,h264,1920,1080,1920x1080,24,118000,16.155,HTTP/1.1,5.046,77.53,251674.977,4.315,4.867,0.7029472462,1.889469784,5.400840038,0.6349808001,0.6872613462,1,49358,8.953,1574371.972,92
66,2,2,59,93601,867,0,4375,12259,5314,1328639,25400,exponential,2000,h264,1920,1080,1920x1080,24,116000,10.084,HTTP/1.1,5.039,77.523,247299.958,4.314,4.867,0.7023443584,1.889430571,5.393224043,0.6348801408,0.6872613462,2,38954,16.239,1589161.257,179
66,2,2,60,95067,441,0,4375,11072,2441,610383,25935,exponential,2000,h264,1920,1080,1920x1080,24,118000,15.895,HTTP/1.1,5.046,77.53,251674.977,4.315,4.867,0.7029472462,1.889469784,5.400840038,0.6349808001,0.6872613462,2,38958,4.882,1576921.289,157
43,1,2,60,92661,399,0,4375,12238,2441,610383,28590,average,2000,h264,1920,1080,1920x1080,24,118000,12.845,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,1,45614,0.049,1626604.868,119
43,1,2,60,93803,417,0,4375,11709,2441,610383,27437,average,2000,h264,1920,1080,1920x1080,24,118000,15.328,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,2,35210,1.304,1656117.221,145
46,1,3,60,113644,437,0,4375,11174,2441,610383,7428,average,2000,h264,1920,1080,1920x1080,24,118000,9.778,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,1,46432,16.96,1500260.442,151
46,1,3,60,115964,449,0,4375,10875,2441,610383,5033,average,2000,h264,1920,1080,1920x1080,24,118000,15.477,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,2,36032,8.489,1522503.204,85
46,1,3,60,111295,1135,0,4375,4302,2441,610383,9757,average,2000,h264,1920,1080,1920x1080,24,118000,16.242,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,3,51184,0.075,562372.4405,204
49,4,2,58,73327,790,0,4375,18395,7266,1816520,43591,exponential,2000,h264,1920,1080,1920x1080,24,114000,31.104,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,1,51038,2.956,2446896.543,148
49,4,2,60,77672,299,0,4375,16331,2441,610383,43171,exponential,2000,h264,1920,1080,1920x1080,24,118000,13.048,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,2,40650,2.387,2379389.221,117
50,1,3,58,104291,2313,0,4375,6282,7266,1816520,12515,exponential,2000,h264,1920,1080,1920x1080,24,114000,12.9,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,1,48138,6.545,801346.2919,344
